Entry ID,Jurisdiction ,Date,Action,Intervention Category,Intervention type,Description,Organization
NT015,N.W.T.,2020-03-18,New,State of emergency,State of emergency,Public health state of emergency declared,"Government of the Northwest Territories, Ministry of Health and Social Services
"
NT016,N.W.T.,2020-03-19,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies issued,"Chief Public Health Officer
"
NT017,N.W.T.,2020-03-19,New,Health services,Delayed/resumed medical procedures ,All non-urgent procedures and elective surgeries postponed,"Northwest Territories Health and Social Services Authority 
"
NT020,N.W.T.,2020-03-21,New,Travel,Self-isolation,Mandatory 14-day self-isolation for those returning from out-of-territory travel announced,"Chief Public Health Officer
"
NT022,N.W.T.,2020-03-22,New,Distancing,Gatherings,Gatherings of any size prohibited,"Chief Public Health Officer
"
NT024,N.W.T.,2020-03-22,New,Closures/openings,Non-essential services,Bars and buffet-style restaurants closed,"Chief Public Health Officer
"
NT026,N.W.T.,2020-03-23,New,Closures/openings,Education,Post-secondary schools closed,"Government of the Northwest Territories
"
NT028,N.W.T.,2020-03-14,New,Case management,Self-isolation,Guidance on self-monitoring published,"Chief Public Health Officer
"
NT030,N.W.T.,2020-03-23,New,Health services,Telemedicine/virtual care,Virtual care options for health professionals announced,"Government of the Northwest Territories
"
NT031,N.W.T.,2020-03-24,New,State of emergency,State of emergency,Territorial state of emergency declared,"Government of the Northwest Territories
"
NT032,N.W.T.,2020-03-21,New,Travel,Restrictions,Travel restrictions on non-resident entry announced,"Government of the Northwest Territories
"
NT038,N.W.T.,2020-04-07,New,Public information,Masks,Recommendation for the use of face masks issued,"Chief Public Health Officer, Government of the Northwest Territories
"
NT042,N.W.T.,2020-04-11,New,Distancing,Gatherings,Indoor gatherings between households prohibited,"Chief Public Health Officer
"
NT043,N.W.T.,2020-04-11,New,Closures/openings,Non-essential services,Non-essential businesses closed,"Chief Public Health Officer
"
NT064,N.W.T.,2020-03-01,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for health and social services professionals announced,"Government of the Northwest Territories 
"
NT065,N.W.T.,2020-03-22,New,Closures/openings,Non-essential services,Personal service businesses closed,"Chief Public Health Officer
"
NT067,N.W.T.,2020-05-12,New,Public information,Pandemic response plans,Emerging Wisely reopening plan released,"Government of the Northwest Territories
"
NT071,N.W.T.,2020-05-15,Eased,Closures/openings,Recreation,Recreational and cultural facilities reopened,Government of the Northwest Territories
NT072,N.W.T.,2020-05-15,Eased,Closures/openings,Non-essential services,Farmers' markets and personal service establishments reopened,Government of the Northwest Territories
NT073,N.W.T.,2020-05-15,Eased,Distancing,Gatherings,Outdoor gatherings of 25 and indoor gatherings of 10 or fewer permitted,Government of the Northwest Territories
NT079,N.W.T.,2020-05-20,New,Travel,Restrictions,Restriction on highway ferries implemented,"Government of the Northwest Territories, Infrastructure"
NT080,N.W.T.,2020-06-08,New ,Public information,Masks,Recommendation for public to bring face mask to flights issued ,"Government of the Northwest Territories, Health and Social Services"
NT086,N.W.T.,2020-06-12,Eased,Closures/openings,Recreation,Territorial park campgrounds opened,"Government of the Northwest Territories
"
NT087,N.W.T.,2020-05-29,Eased,Travel,Restrictions,Travel restrictions eased to allow Canadian travellers to enter with an exceptional circumstances exemption,"Government of the Northwest Territories
"
NT088,N.W.T.,2020-06-12,Eased,Distancing,Gatherings,Indoor gatherings of 25 and outdoor gatherings of 50 or fewer permitted,"Government of the Northwest Territories
"
NT089,N.W.T.,2020-06-12,Eased,Closures/openings,Recreation,"Indoor sports and day programming resumed, theatres reopened with restrictions","Government of the Northwest Territories
"
NT090,N.W.T.,2020-06-12,Eased,Closures/openings,Non-essential services,"Restaurant dine-in, bars, places of worship and community centres reopened ","Government of the Northwest Territories
"
NT091,N.W.T.,2020-06-12,Eased,Travel,Restrictions,Travel bubble with Nun. announced,"Government of the Northwest Territories
"
NT093,N.W.T.,2020-06-05,New ,Travel,Restrictions,Screening check point at Fort Smith (Alta. border) re-established,"Government of the Northwest Territories
"
NT096,N.W.T.,2020-05-15,Eased,Closures/openings,Health services,Non-essential health services resumed,"Government of the Northwest Territories
"
NT097,N.W.T.,2020-05-20,Eased,Health services,Delayed/resumed medical procedures ,Non-urgent and non-emergency surgeries resumed,"Northwest Territories Health and Social Services Authority 
"
NT098,N.W.T.,2020-03-19,New ,Closures/openings,Health services,Non-essential services by regulated health professionals suspended,"Northwest Territories Health and Social Services Authority 
"
NT099,N.W.T.,2020-05-15,Eased,Public information,Phase and alert level changes,All regions entered Phase 1 of reopening plan,"Government of the Northwest Territories
"
NT100,N.W.T.,2020-06-12,Eased,Public information,Phase and alert level changes,All regions entered Phase 2 of reopening plan,"Government of the Northwest Territories
"
NT102,N.W.T.,2020-07-03,New,Closures/openings,Education,Reopening Schools Safely: Planning for the 2020-2021 School Year released with aim for full-time in-person learning,"Government of the Northwest Territories
"
NT104,N.W.T.,2020-07-08,Eased,State of emergency,State of emergency,Territorial state of emergency expired,"Government of the Northwest Territories
"
NT109,N.W.T.,2020-06-29,Eased,Health services,Visitors,Visitor restrictions in long-term care relaxed to allow 1 visitor per resident to a maximum of 5 visitors allowed in the facility at once,"Health and Social Services Authority
"
NT110,N.W.T.,2020-06-19,Eased,Health services,Visitors,Visitor restrictions to acute care relaxed to allow 2 visitors per stay ,"Health and Social Services Authority
"
NT111,N.W.T.,2020-06-19,Eased,Health services,Delayed/resumed medical procedures,"Travelling clinics for specialist care, rehab care and eye care resumed","Health and Social Services Authority
"
NT113,N.W.T.,2020-06-12,Eased,Travel,Self-isolation,Travel bubble with Nun. and N.W.T. announced allowing entrance without requirement to self-isolate,"Government of the Northwest Territories
"
NT116,N.W.T.,2020-08-28,Eased,Closures/openings,Education,Public schools began opening for in-person learning ,"Northwest Territories school boards
"
NT118,N.W.T.,2020-08-24,New,Closures/openings,Education,"Education bulletin published with criteria for in-person learning, physical distancing measures and mask policy","Government of the Northwest Territories
"
NT129,N.W.T.,2020-11-16,New,Health services,Delayed/resumed medical procedures,Medical travel for elective procedures to Alberta cancelled,"Government of the Northwest Territories
"
NU003,Nun.,2020-03-15,New,Travel,Self-isolation,Mandatory 14-day self-isolation for those returning from out-of-territory travel announced,"Department of Health
"
NU004,Nun.,2020-03-16,New,Closures/openings,Daycares,Daycares closed ,"Government of Nunavut, Premier
"
NU006,Nun.,2020-03-16,Context,Contextual information,Holiday,Spring break,"Nunavut schools
"
NU007,Nun.,2020-03-17,New,Closures/openings,Education,Schools closed,"Minister of Health
"
NU009,Nun.,2020-03-18,New,Case management,Self-isolation,Guidance on self-isolation for symptomatic individuals and contacts published,"Department of Health
"
NU010,Nun.,2020-03-18,New,State of emergency,State of emergency,Public health state of emergency declared,"Minister of Health
"
NU011,Nun.,2020-03-18,New,Closures/openings,Education,Post-secondary schools closed,"Government of Nunavut, Premier
"
NU012,Nun.,2020-03-18,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies issued,"Government of Nunavut 
"
NU013,Nun.,2020-03-19,New,Closures/openings,Recreation,Public spaces closed,"Government of Nunavut
"
NU014,Nun.,2020-03-20,New,Closures/openings,Non-essential services,Restaurants (except takeout/delivery) closed,"Department of Health
"
NU015,Nun.,2020-03-20,New,Health services,Visitors,Visitor access to acute care and long-term care restricted,"Department of Health
"
NU016,Nun.,2020-03-20,New,Health services,Delayed/resumed medical procedures ,"Non-essential medical travel postponed; laboratory, diagnostic and specialist services limited","Department of Health
"
NU017,Nun.,2020-03-20,New,Closures/openings,Health services,Non-essential health services closed,"Department of Health
"
NU018,Nun.,2020-03-20,New,Case management,Self-isolation,Mandatory self-isolation for confirmed cases and contacts announced,"Minister of Health
"
NU019,Nun.,2020-03-20,New,Distancing,Gatherings,Mass gatherings prohibited,"Minister of Health
"
NU023,Nun.,2020-03-27,New,Closures/openings,Recreation,Territorial parks closed,"Department of Environment, Government of Nunavut
"
NU024,Nun.,2020-03-20,New,Health services,Telemedicine/virtual care,Virtual care options to support remote communities announced,"Department of Health Services, Government of Nunavut
"
NU030,Nun.,2020-04-01,New,Health services,Visitors,Visitor access to long-term care suspended,"Department of Health Services, Government of Nunavut
"
NU035,Nun.,2020-04-02,New,Closures/openings,Health services,Closed dental clinics for non-urgent procedures,"Department of Health, Deputy Premier
"
NU048,Nun.,2020-04-22,New,Public information,Masks,Recommendation for the use of face masks issued,"Government of Nunavut, Department of Economic Development and Transportation
"
NU050,Nun.,2020-06-01,Eased,Closures/openings,Daycares,Daycares reopened,"Government of Nunavut, Department of Education Services
"
NU051,Nun.,2020-06-01,Eased,Distancing,Gatherings,Outdoor gatherings of 25 or fewer permitted,"Government of Nunavut, Department of Health Services
"
NU052,Nun.,2020-06-01,Eased,Closures/openings,Recreation,Territorial parks reopened,"Government of Nunavut
"
NU053,Nun.,2020-06-01,Eased,Closures/openings,Recreation,Playgrounds reopened,"Government of Nunavut
"
NU055,Nun.,2020-05-21,Eased,Travel,Self-isolation,Mandatory self-isolation for travellers between Kitikmeot and Yellowknife lifted,Government of Nunavut
NU057,Nun.,2020-06-01,New,Public information,Pandemic response plans,Non-phased reopening plan released with biweekly reassessments of restrictions,Government of Nunavut
NU058,Nun.,2020-03-23,New,Travel,Restrictions,Travel restrictions on non-resident entry announced,"Government of Nunavut, Premier"
NU059,Nun.,2020-03-23,New,Distancing,Gatherings,Gatherings of any size prohibited,"Government of Nunavut, Premier"
NU060,Nun.,2020-03-23,New,Closures/openings,Recreation,Municipal parks and playgrounds closed,Government of Nunavut 
NU064,Nun.,2020-06-08,Eased,Distancing,Work from home,Government offices and other in-person office work reopened,"Government of Nunavut, Workers’ Safety and Compensation Commission (WSCC). 
"
NU065,Nun.,2020-06-01,Eased,Travel,Restrictions,Travel restrictions on in-territory travel lifted,"Government of Nunavut, Chief Public Health Officer
"
NU066,Nun.,2020-06-08,Eased,Closures/openings,Non-essential services,Retail businesses and offices reopened,"Government of Nunavut, Chief Public Health Officer
"
NU067,Nun.,2020-06-08,Eased,Closures/openings,Recreation,"Museums, galleries and libraries reopened","Government of Nunavut, Chief Public Health Officer
"
NU068,Nun.,2020-06-08,Eased,Closures/openings,Health services,In-person health assessment availability increased,"Government of Nunavut, Chief Public Health Officer
"
NU069,Nun.,2020-06-15,Eased,Closures/openings,Health services,Regulated health services resumed,"Government of Nunavut, Chief Public Health Officer
"
NU070,Nun.,2020-06-15,Eased,Closures/openings,Recreation,Pools and gyms reopened with restrictions,"Government of Nunavut, Chief Public Health Officer
"
NU071,Nun.,2020-06-15,Eased,Travel,Restrictions,Travel bubble with N.W.T. announced,"Government of Nunavut
"
NU072,Nun.,2020-06-15,Eased,Travel,Self-isolation,Mandatory self-isolation for residents of N.W.T. lifted,"Government of Nunavut
"
NU073,Nun.,2020-06-22,Eased,Closures/openings,Non-essential services,"Personal services businesses, bars and restaurant dine-in and churches reopened (with restrictions)","Government of Nunavut
"
NU074,Nun.,2020-06-22,Eased,Closures/openings,Recreation,Theatres reopened,"Government of Nunavut
"
NU075,Nun.,2020-06-29,Eased,Closures/openings,Daycares,Youth centres and day camps resumed,"Government of Nunavut
"
NU076,Nun.,2020-06-29,Eased,Health services,Visitors,"Visitor restrictions in long-term care relaxed to allow 1 to 2 visitors at a time per resident, who are immediate family ","Government of Nunavut
"
NU077,Nun.,2020-06-18,Eased,Health services,Visitors,Visitor restrictions at hospitals relaxed to allow limited visitation ,"Government of Nunavut
"
NU078,Nun.,2020-06-22,Eased,Health services,Delayed/resumed medical procedures ,"Medical travel to Churchill, Man., resumed","Government of Nunavut
"
NU079,Nun.,2020-06-18,Eased,Health services,Delayed/resumed medical procedures,Regular laboratory and diagnostic services at Qikiqtani General Hospital resumed,"Government of Nunavut
"
NU081,Nun.,2020-06-29,Eased,Health services,Visitors,Visitor restrictions to continuing care centres and Elders' homes relaxed to allow 2 visitors who are immediate family members,"Government of Nunavut
"
NU085,Nun.,2020-07-24,New,Closures/openings,Education,4-stage plan released for assessing risk in schools; stages depend on exposure to cases and confirmed cases in the community,"Government of Nunavut
"
NU088,Nun.,2020-08-10,Eased,Closures/openings,Education,First school opened in territory for in-person learning,"Government of Nunavut
"
NU096,Nun.,2020-06-29,Eased,Distancing,Gatherings,Outdoor gatherings of 50 and indoor gatherings of 10 people permitted; organized gatherings limited to 50 or 50% of facility's capacity ,"Government of Nunavut, Department of Health Services
"
NU097,Nun.,2020-07-24,New,Case management,Education,4-stage plan released for assessing risk in schools,"Government of Nunavut, Department of Education Services
"
NU100,Nun.,2020-10-05,Eased,Closures/openings,Non-essential services,Restaurant/bar capacity increased from 50% to 75% with a maximum of 6 people/table ,"Government of Nunavut
"
NU101,Nun.,2020-10-05,Eased,Closures/openings,Recreation,"Museums, galleries, libraries and fitness and recreational facilities permitted to operate at 50% capacity","Government of Nunavut
"
NU102,Nun.,2020-10-05,Eased,Health services,Visitors,Visitor restrictions to long-term care relaxed to allow 2 visitors at once from immediate families ,"Government of Nunavut
"
NU103,Nun.,2020-10-05,Eased,Distancing,Gatherings,Gathering limitations eased to 15 people indoors and 100 outdoors; organized indoor gatherings allowed at 75% capacity or 100 people,"Government of Nunavut
"
NU106,Nun.,2020-11-06,New,Travel,Restrictions,"Travel to and from the Belcher Islands, including the Hamlet of Sanikiluaq, prohibited (except for medical travel)","Government of Nunavut
"
NU107,Nun.,2020-11-06,New,Closures/openings,Education,Schools closed and remote learning conducted (Sanikiluaq),"Government of Nunavut
"
NU108,Nun.,2020-11-06,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout), personal service businesses, government offices and non-essential businesses closed (Sanikiluaq)","Government of Nunavut
"
NU109,Nun.,2020-11-06,New,Closures/openings,Recreation,Recreational businesses closed (Sanikiluaq),"Government of Nunavut
"
NU110,Nun.,2020-11-06,New,Distancing,Gatherings,Indoor gatherings prohibited and other gatherings restricted to 5 (Sanikiluaq) ,"Government of Nunavut
"
NU111,Nun.,2020-11-06,New,Closures/openings,Daycares,Closure of child care facilities recommended (Sanikiluaq) ,"Government of Nunavut, Chief Public Health Officer
"
NU113,Nun.,2020-11-06,New,Public information,Masks,Use of face masks outside the home mandated (Sanikiluaq),"Government of Nunavut
"
NU114,Nun.,2020-11-06,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies announced (Sanikiluaq),"Government of Nunavut
"
NU115,Nun.,2020-11-11,New,Travel,Restrictions,Travel to and from Rankin Inlet prohibited,"Government of Nunavut
"
NU116,Nun.,2020-11-11,New,Closures/openings,Education,Schools closed and remote learning conducted (Ranking Inlet),"Government of Nunavut
"
NU117,Nun.,2020-11-11,New,Closures/openings,Non-essential services,"Restaurants, bars, personal service businesses, government offices and non-essential businesses closed (Rankin Inlet)","Government of Nunavut
"
NU118,Nun.,2020-11-11,New,Closures/openings,Recreation,Recreational businesses closed (Rankin Inlet),"Government of Nunavut
"
NU119,Nun.,2020-11-11,New,Distancing,Gatherings,Indoor gatherings prohibited and other gatherings restricted to 5 (Rankin Inlet) ,"Government of Nunavut
"
NU121,Nun.,2020-11-11,New,Public information,Masks,Use of face masks outside the home mandated (Rankin Inlet),"Government of Nunavut
"
NU122,Nun.,2020-11-11,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies announced (Rankin Inlet),"Government of Nunavut
"
NU123,Nun.,2020-11-11,New,Closures/openings,Daycares,Closure of child care facilities recommended (Rankin Inlet) ,"Government of Nunavut, Chief Public Health Officer
"
NU124,Nun.,2020-11-11,New,Closures/openings,Health services,Non-essential dental services suspended (Rankin Inlet),"Government of Nunavut
"
NU125,Nun.,2020-11-11,New,Health services,Delayed/resumed medical procedures,Specialty clinics and home care visits cancelled and non-essential medical travel from Iqualit to Rankin Inlet suspended,"Government of Nunavut
"
NU126,Nun.,2020-11-12,New,Closures/openings,Non-essential services,"Restaurant and bar capacity reduced from 75% to 50% with a maximum of 6 people/table (Kivalliq, Iqaluit)","Government of Nunavut
"
NU127,Nun.,2020-11-12,New,Distancing,Gatherings,Indoor household gatherings of more than 5 and outdoor gatherings of more than 50 prohibited; indoor gatherings permitted at 50% capacity or 50 people,"Government of Nunavut
"
NU129,Nun.,2020-11-12,New,Closures/openings,Education,Physical distancing in schools enhanced; middle and high school capacity reduced to 50% and transitioned to blended learning (7 regions),"Government of Nunavut, Department of Education Services
"
NU131,Nun.,2020-11-13,New,Closures/openings,Education,Schools closed and remote learning conducted (Kivalliq) ,"Government of Nunavut
"
NU132,Nun.,2020-11-13,New,Closures/openings,Non-essential services,"Restaurants and bars (except takeout), personal service businesses, government offices and non-essential businesses closed (Kivalliq)","Government of Nunavut
"
NU133,Nun.,2020-11-13,New,Closures/openings,Recreation,Recreational businesses closed (Kivalliq),"Government of Nunavut
"
NU134,Nun.,2020-11-13,New,Distancing,Gatherings,Indoor gatherings prohibited and other gatherings restricted to 5 (Kivalliq) ,"Government of Nunavut
"
NU135,Nun.,2020-11-13,New,Closures/openings,Daycares,Closure of child care facilities recommended (Kivalliq) ,"Government of Nunavut, Chief Public Health Officer
"
NU137,Nun.,2020-11-13,New,Public information,Masks,Use of face masks outside the home mandated (Kivalliq),"Government of Nunavut
"
NU138,Nun.,2020-11-13,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies announced (Kivalliq),"Government of Nunavut
"
NU139,Nun.,2020-11-15,New,Travel,Restrictions,Travel between Kivalliq communities prohibited (except for cargo and emergency travel) ,"Government of Nunavut
"
NU151,Nun.,2020-11-12,New,Health services,Visitors,Visitor access to long-term care and elders centres restricted from 2 to 1 visitor (Iqaluit),"Government of Nunavut
"
NU152,Nun.,2020-11-11,New,Health services,Visitors,"Visitor access to long-term care, elders centres and all other health centres suspended (Rankin Inlet) ","Government of Nunavut
"
NU153,Nun.,2020-11-12,New,Health services,Visitors,"Visitor access to long-term care, elders centres and all other health centres suspended (Sanikiluaq, Belcher Islands) ","Government of Nunavut
"
ON007,Ont.,2020-03-12,New,Health services,Telemedicine/virtual care,Physician billing codes for virtual assessments approved,"Ministry of Health
"
ON008,Ont.,2020-03-13,New,Distancing,Gatherings,Recommendation to avoid gatherings of more than 250 people issued,"Chief Medical Officer of Health
"
ON009,Ont.,2020-03-14,New,Closures/openings,Education,Schools closed,"Ministry of Education
"
ON010,Ont.,2020-03-15,New,Health services,Delayed/resumed medical procedures ,Non-urgent procedures and elective surgeries postponed,"Ministry of Health
"
ON011,Ont.,2020-03-15,New,Closures/openings,Health services,Non-essential dental services suspended ,"Royal College of Dental Surgeons of Ontario 
"
ON014,Ont.,2020-03-16,New,Travel,Self-isolation,Mandatory 14-day self-isolation for those returning from international travel announced,"Ministry of Health
"
ON016,Ont.,2020-03-16,New,Distancing,Gatherings,Recommendation to avoid gatherings of more than 50 people issued,"Chief Medical Officer of Health
"
ON017,Ont.,2020-03-16,New,Closures/openings,Health services,Non-essential chiropractic services suspended ,"College of Chiropractors of Ontario 
"
ON018,Ont.,2020-03-16,New,Closures/openings,Health services,Non-essential optometry services suspended ,"College of Optometrists of Ontario 
"
ON019,Ont.,2020-03-16,Context,Contextual information,Holiday,Spring break,"Ministry of Education
"
ON020,Ont.,2020-03-17,New,State of emergency,State of emergency,Provincial state of emergency declared,"Office of the Premier
"
ON021,Ont.,2020-03-17,New,Closures/openings,Recreation,Recreational facilities and entertainment/arts venues closed,"Office of the Premier
"
ON023,Ont.,2020-03-17,New,Closures/openings,Non-essential services,Bars and restaurants (except takeout/delivery) closed,"Office of the Premier
"
ON024,Ont.,2020-03-17,New,Health services,Visitors,Recommendation to restrict visitor access to long-term care to essential visitors issued ,"Ministry of Health
"
ON025,Ont.,2020-03-17,New,Closures/openings,Health services,Non-essential audiology and speech–language pathology services suspended ,"College of Audiologists and Speech–Language Pathologists of Ontario 
"
ON026,Ont.,2020-03-17,New,Closures/openings,Health services,Non-essential occupational therapy services suspended ,"College of Occupational Therapists of Ontario 
"
ON027,Ont.,2020-03-17,New,Health services,Telemedicine/virtual care,Virtual care resources for psychologists published,"College of Psychologists of Ontario 
"
ON028,Ont.,2020-03-18,New,Case management,Self-isolation,Guidance on self-isolation published,"Government of Ontario
"
ON029,Ont.,2020-03-19,New,Closures/openings,Recreation,Provincial parks closed,"Ministry of the Environment, Conservation and Parks
"
ON030,Ont.,2020-03-19,New,Health services,Visitors,Recommendation to restrict visitor access to acute care to essential visitors issued ,"Ministry of Health
"
ON031,Ont.,2020-03-19,New,Closures/openings,Health services,Non-essential health services and elective procedures suspended,"Chief Medical Officer of Health
"
ON032,Ont.,2020-03-20,New,Health services,Telemedicine/virtual care,Virtual care guidelines for social workers published,"Ontario College of Social Workers and Social Service Workers 
"
ON034,Ont.,2020-03-23,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for midwives announced,"College of Midwives of Ontario 
"
ON035,Ont.,2020-03-23,New,Health workforce,Supply management,Order to ensure proper deployment of staff in long-term care homes announced,"Ministry of Long-Term Care 
"
ON038,Ont.,2020-03-25,New,Closures/openings,Non-essential services,Non-essential businesses closed,"Office of the Premier
"
ON039,Ont.,2020-03-25,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies issued,"Office of the Premier
"
ON045,Ont.,2020-03-25,New,Health workforce,Safety guidelines,Recommendation for optometrists with access to personal protective equipment to provide in-person urgent care issued,"College of Optometrists of Ontario 
"
ON046,Ont.,2020-03-28,New,Distancing,Gatherings,Gatherings of more than 5 people prohibited,"Office of the Premier
"
ON054,Ont.,2020-03-30,New,Health workforce,Safety guidelines,Safety standards for front-line nurses in hospitals issued,"Ministry of Health
"
ON056,Ont.,2020-03-30,New,Closures/openings,Recreation,All indoor and outdoor recreational amenities closed,"Office of the Premier
"
ON057,Ont.,2020-03-30,New,Health workforce,Safety guidelines,Guidance for risk assessment for paramedics before patient interaction published,"Ministry of Health, Ministry of Long-Term Care 
"
ON061,Ont.,2020-03-31,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for nursing professionals announced,"College of Nurses of Ontario 
"
ON065,Ont.,2020-04-02,New,Health workforce,Supply management,Order providing public health units the authority to make staffing decisions to support surge capacity issued,"Ministry of Health
"
ON067,Ont.,2020-04-03,New,Health workforce,Supply management,Order to help retirement homes address emergency staffing needs announced,"Ministry for Seniors and Accessibility 
"
ON074,Ont.,2020-04-06,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for social workers announced,"Ontario College of Social Workers and Social Service Workers 
"
ON087,Ont.,2020-04-14,New,Health workforce,Safety guidelines,Guidance on use of personal protective equipment for dental surgeons published,"Royal College of Dental Surgeons of Ontario 
"
ON088,Ont.,2020-04-15,New,Health workforce,Safety guidelines,Order restricting staff movement between health care facilities issued,"Office of the Premier
"
ON095,Ont.,2020-04-22,New,Health workforce,Supply management,Order authorizing local health integration networks to reassign front-line staff as needed issued,"Office of the Premier 
"
ON096,Ont.,2020-04-22,New,Health workforce,Licence reinstatement/reclassification,Criteria to hire students for ambulance services announced,"Office of the Premier 
"
ON103,Ont.,2020-04-03,New,Health services,Telemedicine/virtual care,Virtual care guidelines for audiologists and speech–language pathologists published,"College of Audiologists and Speech–Language Pathologists of Ontario 
"
ON104,Ont.,2020-04-06,New,Health services,Telemedicine/virtual care,Virtual care options for dietitians announced,"College of Dietitians of Ontario 
"
ON105,Ont.,2020-05-03,New,Health workforce,Safety guidelines,Guidance on use of personal protective equipment for licensed practical nurses published,"College of Nurses of Ontario 
"
ON107,Ont.,2020-05-19,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for physicians announced,"College of Physicians and Surgeons of Ontario 
"
ON109,Ont.,2020-03-21,New,Health workforce,Supply management,Order allowing hospitals to postpone non-urgent services issued,"Ministry of Health
"
ON111,Ont.,2020-03-17,New,Closures/openings,Daycares,Daycares closed (with exceptions),"Office of the Premier
"
ON136,Ont.,2020-04-25,New,Health workforce,Supply management,Order allowing the reassignment of front-line staff to long-term care homes issued,"Office of the Premier
"
ON139,Ont.,2020-04-25,New,Health workforce,Supply management,Pandemic pay increase for eligible front-line staff announced,"Office of the Premier
"
ON141,Ont.,2020-04-27,New,Public information,Pandemic response plans,A Framework for Reopening our Province released,"Office of the Premier
"
ON144,Ont.,2020-05-04,Eased,Closures/openings,Non-essential services,Select businesses reopened with social distancing and cleaning guidelines,"Office of the Premier
"
ON146,Ont.,2020-05-01,New,Health workforce,Change in practice,Authorization for coroners and registered nurses to access electronic health records to conduct death investigations issued,"Office of the Premier
"
ON147,Ont.,2020-05-01,New,Health workforce,Change in practice,Authorization for registered nurses to complete medical certificates of death issued,"Office of the Premier
"
ON150,Ont.,2020-05-05,New,Health services,Telemedicine/virtual care,Online mental health therapy program expanded,"Office of the Premier
"
ON151,Ont.,2020-04-22,New,Health workforce,Supply management,Deployment of specialized teams and the recruitment of additional staff in long-term care announced,"Office of the Premier
"
ON155,Ont.,2020-04-21,New,Health workforce,Change in practice,Authorization for occupational therapists to perform nasopharyngeal swabs issued,"College of Occupational Therapists of Ontario 
"
ON156,Ont.,2020-05-08,Eased,Closures/openings,Non-essential services,Garden centres reopened,Office of the Premier
ON157,Ont.,2020-05-09,Eased,Closures/openings,Non-essential services,Hardware and safety supply stores reopened,Office of the Premier
ON158,Ont.,2020-05-11,Eased,Closures/openings,Non-essential services,Select non-essential businesses reopened,Office of the Premier
ON161,Ont.,2020-05-09,New,Health workforce,Supply management,Order enabling school board employees to volunteer to be deployed to congregate care settings during the pandemic announced,Office of the Premier
ON162,Ont.,2020-05-11,Eased,Closures/openings,Recreation,Provincial parks reopened,Office of the Premier
ON164,Ont.,2020-05-13,New,Health workforce,Supply management,Order allowing issuance of mandatory management order for long-term care home struggling with COVID-19 outbreak,Office of the Premier
ON166,Ont.,2020-05-16,Eased,Closures/openings,Recreation,"Golf clubs, marinas, private parks and campground reopened",Office of the Premier
ON167,Ont.,2020-05-19,Eased,Closures/openings,Non-essential services,Non-essential businesses reopened,Office of the Premier
ON168,Ont.,2020-05-19,Eased,Closures/openings,Health services,In-person health and medical services resumed (with measures),Office of the Premier
ON169,Ont.,2020-05-19,Eased,Health services,Delayed/resumed medical procedures ,Gradual resumption of scheduled surgeries announced,Office of the Premier
ON170,Ont.,2020-05-19,Eased,Closures/openings,Recreation,"Some outdoor recreational facilities (e.g., outdoor recreational facilities) reopened ",Office of the Premier
ON174,Ont.,2020-05-20,New,Public information,Masks,Recommendation for the use of face masks issued,Office of the Premier
ON177,Ont.,2020-05-26,Eased,Closures/openings,Health services,Gradual resumption of regulated health services announced ,Chief Medical Officer of Health
ON183,Ont.,2020-06-12,Eased,Distancing,Gatherings,Gatherings of 10 or fewer permitted,"Office of the Premier
"
ON184,Ont.,2020-06-12,Eased,Closures/openings,Non-essential services,Places of worship reopened at 30% capacity,"Office of the Premier
"
ON185,Ont.,2020-06-12,Eased,Closures/openings,Non-essential services,"Outdoor dining, some personal service businesses and shopping malls reopened in 24 public health unit regions","Office of the Premier
"
ON186,Ont.,2020-06-12,Eased,Closures/openings,Recreation,Outdoor and some recreational facilities and businesses reopened in 24 public health unit regions,"Office of the Premier
"
ON188,Ont.,2020-06-18,Eased,Health services,Visitors,Visitor restrictions at long-term care homes and retirement homes relaxed to allow limited indoor or outdoor visits based on the setting ,"Office of the Premier
"
ON190,Ont.,2020-06-13,Eased,Distancing,Gatherings,Outdoor ceremonies of 50 or fewer permitted,"Ministry of Health
"
ON191,Ont.,2020-06-19,Eased,Closures/openings,Non-essential services,"Outdoor dining, some personal service businesses and shopping malls reopened in 7 additional public health unit regions","Office of the Premier
"
ON192,Ont.,2020-06-19,Eased,Closures/openings,Recreation,Outdoor and some recreational facilities and businesses reopened in 7 additional public health unit regions,"Office of the Premier
"
ON194,Ont.,2020-06-18,New ,Case management,Contact tracing,Comprehensive case and contact management strategy and contact tracing app released,"Office of the Premier
"
ON195,Ont.,2020-06-19,New,Closures/openings,Education,Guidance document with safety measures for the upcoming school year released,Office of the Premier
